tweet,date,user_location,id,link
@CanalRCN @miss_coronas ustedes lo han dicho RCN transmitirá mucho reinado pero en verdad reinado no lo no lo que transmitieron anoche súper este un reinado popular cualquiera de cualquier pueblecito de rincón de Colombia un recado supremamente cansancio produce sueño a muchos,2020-11-17 04:59:03,,1328563276498800640,https://twitter.com/i/web/status/1328563276498800640
Qué desastre!!!! Siglo XXI y esta es Miss Colombia! Desfilan mejor las vacas en las exposiciones rurales https://t.co/2RCQSWhaY9,2020-11-17 04:59:00,"Montevideo, MN",1328563265077714944,https://twitter.com/i/web/status/1328563265077714944
Fui la única que no se vio la payasada de Miss Colombia?,2020-11-17 04:58:48,,1328563213982687233,https://twitter.com/i/web/status/1328563213982687233
El miss universe colombia fue todo cuadrado para que lo ganara Laura Olascuaga. Lo bueno es que la vieja tuvo una presentación impecable que la hizo merecedora del titulo.,2020-11-17 04:58:34,"Neiva, Colombia",1328563156403294208,https://twitter.com/i/web/status/1328563156403294208
"Laura Olascuaga de Bolívar, primera Miss Universe Colombia https://t.co/rByCwsmYJA",2020-11-17 04:58:20,"Barranquilla, Colombia",1328563097141915648,https://twitter.com/i/web/status/1328563097141915648
"Laura Olascuaga de Bolívar, primera Miss Universe Colombia https://t.co/JQD387rTMG",2020-11-17 04:58:19,Barranquilla,1328563093463560193,https://twitter.com/i/web/status/1328563093463560193
Yo viendo el Miss Universe Colombia y visualizándome cuando yo esté ahí con mi banda de Antioquia 😍😍😍😍,2020-11-17 04:57:57,"Medellín, Colombia",1328563001021128704,https://twitter.com/i/web/status/1328563001021128704
@jdominguez010 @Hasbeth + Y finalmente se creo lo de Miss Colombia,2020-11-17 04:57:17,"Bogotá,Colombia",1328562832493961217,https://twitter.com/i/web/status/1328562832493961217
"@GabrielaTafur eres demasiado nivel para Miss Colombia, la actual @MisUniversecol carece de todo.
Hace años no sentía tristeza por un reinado, que así no gane la tuya, podrían haber buenas opciones y dejar una mujer arrogante y poco bella. #MissUniverseColombia",2020-11-17 04:56:48,Cali - Colombia,1328562713073770496,https://twitter.com/i/web/status/1328562713073770496
"me daría tanto gusto que pasara lo mismo que paso con Ariadna Gutiérrez cuando fue escogida Miss Colombia nadie la quería, ni la apoyaban, le criticaban su problema en la rodilla cada que hacia pasarela, también el cuerpo porque era gorda y veaaaa ;)",2020-11-17 04:56:46,"Bogotá, D.C., Colombia",1328562700948017153,https://twitter.com/i/web/status/1328562700948017153
"La nueva miss Colombia es bella pero andan diciendo que ya era tramoya planeada alv
La de Meta era bien bonita también",2020-11-17 04:56:32,,1328562645251862529,https://twitter.com/i/web/status/1328562645251862529
#MissUniverseColombia Miss Universo Colombia en una foto jajajajajaja y que saludos a Doña Catriona Garay jajajajaj https://t.co/KdQ1IQiQTP,2020-11-17 04:56:24,,1328562608811757573,https://twitter.com/i/web/status/1328562608811757573
@elheraldoco ¿Miss Universo Colombia? (¿No sería más bien Miss Colombia?) https://t.co/MRgZzU5W1r,2020-11-17 04:56:18,Colombia,1328562583587131392,https://twitter.com/i/web/status/1328562583587131392
@culo_deluxe Que miss Colombia ni ocho cuartos...ese rico culo tragando verga  y esos sexys gemidos....son incomparables :),2020-11-17 04:55:54,,1328562485109137414,https://twitter.com/i/web/status/1328562485109137414
@GabrielaTafur Lo hizo hace dos años cuando derrotó a @laura_olascuaga MISS TRAMOYA COLOMBIA 2020,2020-11-17 04:55:39,"Boyacá, Colombia",1328562423356387329,https://twitter.com/i/web/status/1328562423356387329
@Citytv La Miss Universe Colombia era la señorita #Meta mucho robo,2020-11-17 04:55:36,Colombia,1328562407871045633,https://twitter.com/i/web/status/1328562407871045633
"que música hp la q pusieron en ese miss colombia, la sacaron de tiktok",2020-11-17 04:55:30,"Barranquilla, Colombia",1328562381996298241,https://twitter.com/i/web/status/1328562381996298241
@ELTIEMPO La Miss Universe Colombia era la Señorita #Meta mucho robó 🤦🏻‍♂️,2020-11-17 04:54:55,Colombia,1328562238433669121,https://twitter.com/i/web/status/1328562238433669121
@miss_coronas La próxima grand slam de Colombia / la próxima top 20 de Colombia en MU (si es que llega)...Mafe es tan bella y clasuda.,2020-11-17 04:54:49,,1328562213905428483,https://twitter.com/i/web/status/1328562213905428483
Venezuela y Colombia eligieron mal sus cartas a Miss Universo teniendo buen material.,2020-11-17 04:54:47,San Cristobal- Venezuela,1328562202094219264,https://twitter.com/i/web/status/1328562202094219264
"Para mi está será la única e indiscutible reina. La mujer que realmente visitó todo el país, que mostró los problemas de colombia. La mujer que habló del aborto y la salud reproductiva de las mujeres en miss universe, frente a millones de personas. Te lo dije una vez+ https://t.co/rVh35I2Z3q",2020-11-17 04:54:40,,1328562172776116224,https://twitter.com/i/web/status/1328562172776116224
"uy no, no pasen tanta pena hablando ike del miss colombia fooooo🤢 JAJABABABABABABABAABABAJAJA",2020-11-17 04:54:19,jariana ♡,1328562087585591296,https://twitter.com/i/web/status/1328562087585591296
@carlosmarioDia6 Ese de miss colombia,2020-11-17 04:54:05,,1328562027049181186,https://twitter.com/i/web/status/1328562027049181186
@mrstaehyungjk @Sofi13222 Mafe no irá xq el CNB no tiene la franquicia. Desde ahora sólo irá al miss Universo la que gane en el Miss universo colombia.  Para que Mafe vaya deberá concursar en este nuevo certamen.,2020-11-17 04:53:57,,1328561993117261824,https://twitter.com/i/web/status/1328561993117261824
@DianamendezR_ @Luisafdac24 Estaban eligiendo a Miss Colombia,2020-11-17 04:53:34,,1328561896983826435,https://twitter.com/i/web/status/1328561896983826435
Bro yo no enterada que hoy era miss Colombia..... me hubieran avisado 😭 https://t.co/DwiIGghQyL,2020-11-17 04:53:05,,1328561774874996738,https://twitter.com/i/web/status/1328561774874996738
"Yo no entiendo que estaba pasando con el Miss universo Colombia, no teníamos ya la reina divina o xq una nueva. Quedé",2020-11-17 04:52:52,,1328561720072171520,https://twitter.com/i/web/status/1328561720072171520
Yo creo que soy de las pocas personas que no vio el miss Colombia.,2020-11-17 04:52:50,,1328561712518324224,https://twitter.com/i/web/status/1328561712518324224
Se me olvido el miss Colombia y me quedé dormida... https://t.co/4Gbgux06nJ,2020-11-17 04:52:41,Colombia🇨🇴✨,1328561675327442947,https://twitter.com/i/web/status/1328561675327442947
@alexandrapere30 era miss colombia pero un cambio de reglas algo así no permitieron que fuera a miss universo,2020-11-17 04:52:23,"Barranquilla, Colombia",1328561598299074562,https://twitter.com/i/web/status/1328561598299074562
"El Miss Universe Colombia tuvo una pésima programación, se notó que no le invirtieron un buen presupuesto y para mí lo peor fue que un departamente sea representado por alguien que no pertenece a él, un asco total, mejor se seguía con el CNB.",2020-11-17 04:52:17,,1328561573829423104,https://twitter.com/i/web/status/1328561573829423104
"Que risa los comentarios del miss colombia, definitivamente en este país se pasa pena como sea jajaja",2020-11-17 04:52:15,,1328561567244357635,https://twitter.com/i/web/status/1328561567244357635
Una estudiante de periodismo representará a Colombia en Miss Universo https://t.co/MfhPA2eKFW,2020-11-17 04:52:06,Durango Mex.,1328561528140947456,https://twitter.com/i/web/status/1328561528140947456
